id,name,category,one_liner,auth_methods,gating_type,api_surface,mcp_status,buildability_verdict,main_blocker,evidence_url,easy_win_score
1,Salesforce,1. CRM and Sales,"Enterprise CRM platform for sales, service, marketing, and customer relationship management.","OAuth2, Connected Apps JWT Bearer Flow, Session ID / SOAP Login",Self-Serve Free/Trial,"Extensive REST API, SOAP API, Bulk API 2.0, GraphQL, Apex REST, and Pub/Sub Event Streaming APIs.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_what_is_rest_api.htm,9
2,HubSpot,1. CRM and Sales,"Inbound marketing, sales CRM, customer service, and operations platform.","OAuth2, Private App Access Tokens (Bearer)",Self-Serve Free/Trial,"Comprehensive REST APIs covering CRM objects, Contacts, Deals, Marketing, CMS, and Webhooks.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://developers.hubspot.com/docs/api/overview,10
3,Pipedrive,1. CRM and Sales,Pipeline CRM and sales management tool for deal-driven teams.,"OAuth2, Personal API Token",Self-Serve Free/Trial,"Full REST v1 API covering Deals, Leads, Persons, Activities, Pipelines, and Webhooks.",Composio Native,Ready Today,None (Ready for Toolkit / MCP),https://developers.pipedrive.com/docs/api/v1,9
4,Attio,1. CRM and Sales,"Modern, data-driven next-generation CRM built on real-time customizable objects.","OAuth2, Personal Access Token / API Key (Bearer)",Self-Serve Free/Trial,"Modern REST v2 API with granular scopes, custom object schemas, records, lists, and webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developers.attio.com/reference/overview,10
5,Twenty,1. CRM and Sales,"Open-source CRM alternative to Salesforce, built for full customizability and developer autonomy.","API Key (Bearer), JWT / OAuth2",Self-Serve Free/Trial,"REST API and GraphQL API covering all custom objects, relations, and metadata.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.twenty.com/developers/api,10
6,Podio,1. CRM and Sales,Citrix-owned customizable work management and CRM application builder.,"OAuth2 (Server-side & Client-side flows), App Authentication (App ID + App Secret)",Self-Serve Free/Trial,"Broad REST API for Items, Applications, Workspaces, Files, and Webhooks.",None,Ready Today,None (Ready for Toolkit / MCP),https://podio.com/developer/api-overview,8
7,Zoho CRM,1. CRM and Sales,"Omnichannel cloud CRM platform for lead, contact, and deal management.",OAuth2 (Multi-datacenter accounts.zoho.com/.eu/.in),Self-Serve Free/Trial,"Extensive REST v3/v6 APIs, COQL (Zoho Object Query Language), Webhooks, and Bulk API.",Community MCP,Ready Today,None (Ready for Toolkit / MCP - Requires handling regional DC domains .com/.eu/.in),https://www.zoho.com/crm/developer/docs/api/v6/,8
8,Close,1. CRM and Sales,"Inside sales CRM with built-in calling, SMS, email sequences, and pipeline tracking.","API Key (HTTP Basic Auth with API key as username), OAuth2",Self-Serve Free/Trial,"Clean, highly structured REST API covering Leads, Contacts, Activities, Calls, Emails, and Custom Activities.",Composio Native,Ready Today,None (Ready for Toolkit / MCP),https://developer.close.com/,10
9,Copper,1. CRM and Sales,Google Workspace-native CRM tailored for Gmail and Google Calendar workflows.,"API Key + User Email (Custom Headers: X-PW-AccessToken, X-PW-Application, X-PW-UserEmail), OAuth2",Self-Serve Free/Trial,"REST API v1 covering Leads, People, Companies, Opportunities, Tasks, and Activities.",None,Ready Today,None (Ready for Toolkit / MCP),https://developer.copper.com/,8
10,DealCloud,1. CRM and Sales,Specialized CRM and deal management platform for private capital and investment banking (an Intapp company).,"OAuth2 (Client Credentials / Resource Owner Password Flow), API Key",Enterprise/Sales Gate,Data Exchange REST API / Data Feed for syncing institutional deal pipelines and contact entities.,None,Blocked: Enterprise Only,Requires private enterprise customer tenant credentials; no self-serve developer sandbox.,https://api.docs.dealcloud.com/,2
